Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,390,297","$372,755",<0.1%,"$461,017,542",99.9%
2,Demon Slayer: Mugen Train,"$439,335,379","$44,900,000",10.2%,"$394,435,379",89.8%
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
5,Tenet,"$363,656,624","$58,456,624",16.1%,"$305,200,000",83.9%
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
7,Dolittle,"$245,510,532","$77,047,065",31.4%,"$168,463,467",68.6%
8,Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%
10,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
11,Shock Wave 2,"$198,903,006",-,-,"$198,903,006",100%
12,The Croods: A New Age,"$168,168,890","$58,199,890",34.6%,"$109,969,000",65.4%
13,Wonder Woman 1984,"$166,534,027","$46,534,027",27.9%,"$120,000,000",72.1%
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
15,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%
16,Onward,"$141,950,121","$61,555,145",43.4%,"$80,394,976",56.6%
17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%
18,Soul,"$117,782,175",-,-,"$117,782,175",100%
19,The Call of the Wild,"$111,105,497","$62,342,368",56.1%,"$48,763,129",43.9%
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%
21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
22,Mulan,"$66,800,000",-,-,"$66,800,000",100%
23,The Rescue,"$63,426,575","$18,797",<0.1%,"$63,407,778",100%
24,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%
25,Greenland,"$52,300,000",-,-,"$52,300,000",100%
26,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
27,Vanguard,"$50,814,965","$793,525",1.6%,"$50,021,440",98.4%
28,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
29,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
30,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%
31,The New Mutants,"$46,993,732","$23,852,659",50.8%,"$23,141,073",49.2%
32,Trolls World Tour,"$45,443,361",-,-,"$45,443,361",100%
33,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
34,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
35,Unhinged,"$43,249,465","$20,831,465",48.2%,"$22,418,000",51.8%
36,Train to Busan Presents: Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%
